"","Autumn","Spring","Summer"
"Spring",8.04803143718745e-07,NA,NA
"Summer",2.78690535703085e-16,0.0021152756237368,NA
"Winter",0.0021152756237368,2.78690535703085e-16,2.68628917312919e-30
