"","Winter","Spring","Summer"
"Spring",2.78690535703085e-16,NA,NA
"Summer",2.68628917312919e-30,0.0021152756237368,NA
"Autumn",0.0021152756237368,8.04803143718745e-07,2.78690535703085e-16
